file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,5eceb152,Jassyq,2025-04-12,20:03:14,-07:00,2025-04-12T20:03:14-07:00,0,6
style.css,2,css,b2075f65,Jassyq,2025-04-19,13:53:02,-07:00,2025-04-19T13:53:02-07:00,0,29
style.css,3,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,32
style.css,4,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,40
style.css,5,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,0
style.css,6,css,5eceb152,Jassyq,2025-04-12,20:03:14,-07:00,2025-04-12T20:03:14-07:00,0,0
style.css,7,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,13
style.css,8,css,5eceb152,Jassyq,2025-04-12,20:03:14,-07:00,2025-04-12T20:03:14-07:00,0,23
style.css,9,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,16
style.css,10,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,18
style.css,11,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,0
style.css,12,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,0
style.css,13,css,5eceb152,Jassyq,2025-04-12,20:03:14,-07:00,2025-04-12T20:03:14-07:00,0,3
style.css,14,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,15
style.css,15,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,0
style.css,16,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,0
style.css,17,css,21af0b51,Jassyq,2025-04-19,11:36:33,-07:00,2025-04-19T11:36:33-07:00,0,37
